"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"69508","605113","Nick Ahmed",31,"ARI","0.4","76","10",129,473,434,46,5,38,7,".221",".280",".339",".619",".118","22.0","7.2","3.1","26.8"
"104833","656669","Jordan Luplow",27,,"0.4","105","17",61,193,163,23,11,28,1,".202",".326",".454",".780",".252","29.5","14.5","2.0","31.0"
"103355","643289","Mauricio Dubón",26,"SF","0.4","87","15",74,187,175,20,5,22,2,".240",".278",".377",".655",".137","21.9","4.8","4.6","23.0"
"102436","640461","Chad Pinder",29,"OAK","0.4","86","17",75,233,214,30,6,27,1,".243",".300",".411",".712",".168","26.6","6.9","3.9","28.1"
"102110","620443","Luis Torrens",25,"SEA","0.4","97","14",108,378,346,39,15,47,"0",".243",".299",".431",".730",".188","26.2","7.4","3.5","27.4"
"108051","666198","Carter Kieboom",23,"WSH","0.4","90","14",62,249,217,26,6,20,"0",".207",".301",".318",".619",".111","24.9","10.0","2.5","29.5"
"106875","621011","Max Schrock",26,"CIN","0.3","95","16",53,134,125,19,3,14,1,".288",".328",".448",".776",".160","17.9","6.0","3.0","17.4"
"55773","518586","Charlie Culberson",32,"TEX","0.3","82","13",90,271,247,23,5,22,7,".243",".296",".381",".676",".138","23.6","6.3","3.8","31.2"
"106558","621028","Kevin Newman",27,"PIT","0.3","81","9",148,554,517,50,5,39,6,".226",".265",".309",".574",".083","7.4","4.9","1.5","11.9"
"101631","624513","Dom Nuñez",26,"COL","0.3","78","16",81,263,228,31,10,33,"0",".189",".293",".399",".692",".211","34.6","12.9","2.7","33.0"
"110836","657757","Gavin Sheets",25,"CWS","0.3","111","20",54,179,160,23,11,34,"0",".250",".324",".506",".830",".256","22.3","8.9","2.5","20.2"
"59768","542454","Danny Santana",30,"BOS","0.3","96","16",38,127,116,15,5,14,4,".181",".252",".345",".597",".164","23.6","7.9","3.0","36.6"
"58831","488771","Jason Castro",34,"HOU","0.3","93","20",66,179,149,22,8,21,"0",".235",".356",".443",".799",".208","30.2","14.0","2.2","35.1"
"57967","543305","Aaron Hicks",31,"NYY","0.3","92","18",32,126,108,13,4,14,"0",".194",".294",".333",".627",".139","23.8","11.1","2.1","29.6"
"108587","670097","Zack Short",26,"DET","0.3","76","17",61,184,156,21,6,20,2,".141",".239",".282",".521",".141","32.1","12.0","2.7","27.5"
"70764","571718","Brian Goodwin",30,"CWS","0.3","91","14",72,271,235,33,8,29,1,".221",".319",".374",".693",".153","21.4","12.2","1.8","27.5"
"111033","670764","Taylor Walls",24,"TB","0.3","80","13",54,176,152,15,1,15,4,".211",".314",".296",".610",".086","27.8","13.1","2.1","26.3"
"101093","622682","Victor Reyes",26,"DET","0.3","89","14",76,220,209,26,5,22,5,".258",".284",".416",".701",".158","25.0","3.6","6.9","25.6"
"101165","622761","Jorge Mateo",26,,"0.3","82","13",89,209,194,19,4,14,10,".247",".293",".376",".670",".129","26.3","4.3","6.1","31.1"
"102564","641505","Jonathan Davis",29,,"0.3","88","16",64,103,87,20,1,4,4,".126",".252",".172",".425",".046","25.2","11.7","2.2","26.3"
"68156","596748","Maikel Franco",28,"BAL","0.3","86","12",104,403,377,31,11,47,"0",".210",".253",".355",".608",".146","16.6","5.0","3.4","24.1"
"70317","543510","James McCann",31,"NYM","0.3","78","13",121,412,375,29,10,46,1,".232",".294",".349",".643",".117","27.9","7.8","3.6","27.1"
"49829","467092","Wilson Ramos",33,,"0.3","101","16",44,163,151,15,8,20,"0",".205",".248",".397",".646",".192","22.1","5.5","4.0","26.7"
"106026","664247","Kyle Garlick",29,"MIN","0.3","89","22",36,107,99,17,5,10,1,".232",".280",".465",".745",".232","29.9","5.6","5.3","28.9"
"67728","594777","Kole Calhoun",33,"ARI","0.3","86","16",51,182,166,17,5,17,1,".235",".297",".373",".670",".139","22.5","8.2","2.7","31.9"
"105339","658668","Edward Olivares",25,"KC","0.3","107","18",39,111,101,14,5,12,2,".238",".291",".406",".697",".168","17.1","4.5","3.8","24.3"
"102777","642165","Josh VanMeter",26,"ARI","0.3","75","13",112,310,274,26,6,36,3,".212",".297",".354",".651",".142","26.8","10.6","2.5","26.8"
"66006","545350","Jake Marisnick",30,,"0.3","76","16",99,198,176,21,5,24,4,".216",".286",".375",".661",".159","32.8","5.6","5.9","33.5"
"103785","596056","John Nogowski",28,,"0.3","94","14",52,143,129,14,1,14,"0",".233",".301",".310",".611",".078","15.4","8.4","1.8","13.3"
"109139","671277","Luis García",21,"WSH","0.3","86","13",70,247,236,29,6,22,"0",".242",".275",".411",".686",".169","17.4","4.5","3.9","24.5"
"106466","664901","Danny Mendick",27,"CWS","0.3","83","16",71,186,164,14,2,20,"0",".220",".303",".287",".589",".067","22.6","9.7","2.3","24.9"
