Game,Team,Stat,Data
360415128,ATL,DP," 3 (Beckham-Freeman, Beckham-Castro-Freeman, Castro-Beckham-Freeman)"
360415128,MIA,DP," 2 (Hechavarría-Gordon-Bour, Prado-Gordon-Bour)"
360415130,CHW,E," Rollins (1, throw)"
360415130,TB,DP, 1 (Pearce-Beckham-Odorizzi)
360415113,BAL,E," Jones (1, throw)"
360415113,TEX,E," DeShields (2, bobble)"
360415113,TEX,DP," 3 (Beltré-Odor-Moreland 2, Andrus-Odor-Moreland)"
360415109,MIN,E," Rosario (1, bobble)"
360415109,MIN,DP," 2 (Plouffe-Núñez-Mauer, Escobar-Mauer)"
360415118,DET,E," Saltalamacchia (1, throw)"
360415118,DET,DP," 3 (Iglesias-Kinsler-Cabrera, Kinsler-Cabrera, Castellanos-Kinsler-Cabrera)"
360415118,HOU,Assists, Gómez (Kinsler at 3rd base)
360415124,CIN,E," Suárez 2 (5, ground ball 2); Cozart (2, ground ball)"
360415124,CIN,DP, 1 (Phillips-Cozart-Votto)
360415124,CIN,PB, Barnhart
360415111,KC,E," Infante (1, ground ball)"
360415111,KC,DP, 1 (Escobar-Infante-Hosmer)
360415111,OAK,E," Valencia (2, ground ball)"
360415111,OAK,DP," 3 (Lowrie-Semien-Alonso, Valencia-Lowrie-Alonso, Alonso-Semien-Alonso)"
360415119,SF,E," Tomlinson 2 (2, throw, ground ball); Panik (2, ground ball)"
360415119,SF,DP, 1 (Tomlinson-Panik-Belt)
360415119,LAD,E," Kendrick (2, ground ball)"
360415125,ARI,E," Tomás (1, throw)"
360415125,ARI,DP, 1 (Ahmed-Segura-Goldschmidt)
360415125,SD,E," Norris (1, throw)"
360415125,SD,DP, 1 (Ramírez-Spangenberg-Myers)
360416110,SEA,E," Lind (2, ground ball)"
360416110,SEA,DP, 1 (Canó-Marte-Lee)
360416110,NYY,E," Headley (1, throw)"
360416109,LAA,DP, 1 (Pennington-Simmons)
360416109,MIN,Assists, Rosario (Escobar at 2nd base)
360416124,CIN,E," Schebler (1, line drive); Cotham (1, throw)"
360416116,COL,E," Gurka (1, throw)"
360416116,COL,DP, 1 (Story-Adames-Reynolds)
360416116,CHC,DP," 2 (Ross-Russell, Bryant-Báez-Rizzo)"
360416102,TOR,DP," 2 (Tulowitzki-Barney-Colabello, Donaldson-Barney-Colabello)"
360416102,BOS,DP, 1 (Bogaerts-Pedroia-H. Ramírez)
360416102,BOS,Assists, Bradley Jr. (Bautista at 3rd base)
360416111,KC,E," Escobar (2, ground ball)"
360416111,OAK,E," Lowrie 2 (5, ground ball 2)"
360416111,OAK,DP," 2 (Alonso-Semien-Gray, Lowrie-Semien-Alonso)"
360416111,OAK,PB, Phegley 2
360416105,NYM,DP, 1 (Duda-Cabrera)
360416105,CLE,Assists, Ramírez (Wright at 2nd base)
360416130,CHW,DP, 1 (Frazier-Lawrie-Abreu)
360416130,CHW,Assists, Cabrera (Jennings at 3rd base)
360416130,TB,DP, 1 (Miller-Beckham-Pearce)
360416122,PHI,E," Ruf (1, catch)"
360416123,MIL,DP," 2 (Lucroy-Villar, Villar-Gennett-Carter)"
360416123,PIT,DP," 2 (Mercer-Harrison-Jaso, Mercer-Harrison-Rodriguez)"
360416118,DET,DP," 2 (Castellanos-Kinsler-Cabrera, Kinsler-Iglesias-Cabrera)"
360416118,HOU,E," White (2, catch)"
360416118,HOU,Assists, Rasmus (Castellanos at 3rd base)
360416128,MIA,E," Hechavarría (3, throw)"
360416128,MIA,DP, 1 (Prado-Gordon-Bour)
360416113,BAL,E," Trumbo (2, bobble)"
360416113,BAL,DP," 2 (Machado-Schoop-Davis, Schoop-Hardy-Davis)"
360416125,ARI,E," Brito (1, bobble)"
360416125,SD,E," Upton Jr. (1, bobble); Hand (1, throw)"
360416125,SD,PB, Norris
360416119,LAD,DP, 1 (Seager-Gonzalez)
360417110,SEA,E," Clevenger (1, throw)"
360417110,NYY,E," Teixeira (1, ground ball)"
360417110,NYY,DP, 1 (Tanaka-Gregorius-Teixeira)
360417105,NYM,DP, 1 (Cabrera-Duda)
360417105,CLE,E," Kluber (1, throw); Napoli (1, ground ball)"
360417128,MIA,E," Prado (1, ground ball)"
360417128,MIA,DP, 1 (Bour-Hechavarría)
360417128,MIA,Assists, Suzuki (Peterson at Home)
360417128,MIA,PB, Mathis
360417130,CHW,E," Quintana (1, catch)"
360417130,CHW,DP, 1 (Quintana-Saladino-Abreu)
360417102,TOR,E," Martin (1, throw)"
360417102,BOS,DP, 1 (M Hernandez-Bogaerts-H. Ramírez)
360417122,WSH,DP, 1 (Drew-Murphy-Robinson)
360417122,PHI,DP," 2 (Galvis-C. Hernández-Ruf, C. Hernández-Galvis-Ruf)"
360417122,PHI,Assists, Herrera (Harper at 2nd base)
360417123,MIL,E," Villar (2, ground ball)"
360417123,MIL,DP, 1 (Hill-Gennett-Carter)
360417109,LAA,DP, 1 (Pennington-Simmons-Cron)
360417109,LAA,Assists, Calhoun (Arcia at 2nd base); R Ortega (Núñez at Home)
360417109,MIN,E," Plouffe (1, throw)"
360417118,DET,E," Cabrera (1, throw)"
360417118,HOU,E," Valbuena (2, ground ball)"
360417124,CIN,E," Phillips (2, ground ball)"
360417124,STL,E," G. Garcia (1, ground ball); Wacha (1, throw)"
360417124,STL,DP, 1 (Carpenter-Gyorko-Adams)
360417116,CHC,E," Rizzo (1, catch)"
360417116,CHC,DP, 1 (Báez-Rizzo)
360417111,KC,DP," 2 (Moustakas-Hosmer, Moustakas-Colón-Hosmer)"
360417111,KC,PB, Pérez
360417111,OAK,E," Valencia (3, ground ball)"
360417111,OAK,DP, 1 (Coghlan-Semien-Alonso)
360417125,ARI,E," Corbin (1, throw); Weeks Jr. (1, fly ball)"
