last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
López, Jorge,605347,2021,555,377,.293,.272,0.021,.485,.441,0.044,.369,.351,0.018,6.07,5.44,0.63
Thompson, Keegan,624522,2021,243,154,.233,.250,-0.017,.408,.438,-0.030,.324,.350,-0.026,3.38,5.41,-2.03
Wittgren, Nick,621295,2021,258,178,.261,.282,-0.021,.487,.498,-0.011,.331,.350,-0.019,5.05,5.41,-0.36
Harvey, Matt,518774,2021,582,445,.299,.286,0.013,.481,.469,0.012,.355,.350,0.005,6.27,5.41,0.86
Lyles, Jordan,543475,2021,769,560,.278,.272,0.006,.499,.473,0.026,.354,.349,0.005,5.15,5.37,-0.22
Luzardo, Jesús,666200,2021,437,287,.280,.252,0.028,.524,.452,0.072,.375,.348,0.027,6.61,5.33,1.28
Stephan, Trevor,663986,2021,282,173,.235,.241,-0.006,.470,.462,0.008,.340,.347,-0.007,4.41,5.30,-0.89
Weathers, Ryan,677960,2021,401,296,.279,.275,0.004,.497,.470,0.027,.356,.347,0.009,5.32,5.30,0.02
Smith, Riley,642092,2021,301,246,.308,.288,0.020,.523,.477,0.046,.368,.347,0.021,6.01,5.30,0.71
Bubic, Kris,663460,2021,556,376,.248,.252,-0.004,.444,.446,-0.002,.337,.346,-0.009,4.43,5.26,-0.83
Foltynewicz, Mike,592314,2021,586,444,.260,.263,-0.003,.527,.482,0.045,.355,.346,0.009,5.44,5.26,0.18
Crowe, Wil,640444,2021,524,350,.276,.252,0.024,.501,.446,0.055,.369,.346,0.023,5.48,5.26,0.22
Akin, Keegan,669211,2021,427,303,.290,.260,0.030,.491,.460,0.031,.361,.346,0.015,6.63,5.26,1.37
Velasquez, Vince,592826,2021,417,262,.251,.240,0.011,.525,.459,0.066,.367,.345,0.022,6.30,5.23,1.07
Gant, John,607231,2021,491,322,.233,.256,-0.023,.368,.394,-0.026,.321,.344,-0.023,4.09,5.19,-1.10
Morgan, Eli,669212,2021,379,270,.259,.259,0.000,.500,.494,0.006,.341,.344,-0.003,5.34,5.19,0.15
Kikuchi, Yusei,579328,2021,666,436,.243,.256,-0.013,.432,.452,-0.020,.325,.343,-0.018,4.41,5.16,-0.75
Lester, Jon,452657,2021,627,478,.285,.271,0.014,.478,.444,0.034,.352,.342,0.010,4.71,5.13,-0.42
